"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3539.74377971182,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4321.97861564074,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5310.26667827387,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5418.2610635671,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5755.0442180682,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6428.28521804642,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7792.70588174135,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8688.26318946199,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9841.04057670562,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9821.27631615214,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10689.5135445272,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12782.1110227144,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",14407.1800935108,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17803.608912818,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",21079.459211004,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",21422.7781235065,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",21565.6840221177,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",22467.4583643299,
"AUS","GDEXPRD","TOT","MLN_USD","A","2015",21157.0766472118,
"AUS","GDEXPRD","TOT","MLN_USD","A","2017",21226.8454758083,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90254763287665,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02390487417703,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17913268699031,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13776633352784,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16355948805015,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.259876714477,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.46209830016892,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50973214953687,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.58339164870311,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43809230481455,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47746452105193,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64947063523772,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73124480279627,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.0041726755096,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24570188351341,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.18230410088224,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.11403053636714,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.09389251374701,
"AUS","GDEXPRD","TOT","PC_GDP","A","2015",1.8774454842917,
"AUS","GDEXPRD","TOT","PC_GDP","A","2017",1.78852728610378,
"AUT","GDEXPRD","TOT","MLN_USD","A","1981",2366.04635295964,
"AUT","GDEXPRD","TOT","MLN_USD","A","1982",2514.56998280253,
"AUT","GDEXPRD","TOT","MLN_USD","A","1983",2610.25277032357,
"AUT","GDEXPRD","TOT","MLN_USD","A","1984",2725.91399551071,
"AUT","GDEXPRD","TOT","MLN_USD","A","1985",2798.7237825606,
"AUT","GDEXPRD","TOT","MLN_USD","A","1986",2957.31089424752,
"AUT","GDEXPRD","TOT","MLN_USD","A","1987",3015.76962179672,
"AUT","GDEXPRD","TOT","MLN_USD","A","1988",3215.5403565888,
"AUT","GDEXPRD","TOT","MLN_USD","A","1989",3393.31659596151,
"AUT","GDEXPRD","TOT","MLN_USD","A","1990",3666.59314660687,
"AUT","GDEXPRD","TOT","MLN_USD","A","1991",4008.53323353054,
"AUT","GDEXPRD","TOT","MLN_USD","A","1992",4055.54360943465,
"AUT","GDEXPRD","TOT","MLN_USD","A","1993",4125.40208664879,
"AUT","GDEXPRD","TOT","MLN_USD","A","1994",4456.04272460601,
"AUT","GDEXPRD","TOT","MLN_USD","A","1995",4635.6604067906,
"AUT","GDEXPRD","TOT","MLN_USD","A","1996",4902.80088218226,
"AUT","GDEXPRD","TOT","MLN_USD","A","1997",5240.2126700275,
"AUT","GDEXPRD","TOT","MLN_USD","A","1998",5679.24526724512,
"AUT","GDEXPRD","TOT","MLN_USD","A","1999",6267.82119127983,
"AUT","GDEXPRD","TOT","MLN_USD","A","2000",6622.14483774095,
"AUT","GDEXPRD","TOT","MLN_USD","A","2001",7083.24366890752,
"AUT","GDEXPRD","TOT","MLN_USD","A","2002",7467.25550111105,
"AUT","GDEXPRD","TOT","MLN_USD","A","2003",7933.67489558838,
