Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210614525,1258810056,1408519553,1536854749,1589581006,1728899441,1776031285,1796601676,1864301676,2049480447,2138800559,2212525140,2335477654,2442702793,2216618994,,,,,,,,,,,
Africa Eastern and Southern,AFE,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,1.46303E+11,1.3774E+11,1.45827E+11,1.34882E+11,1.17941E+11,1.34515E+11,1.70403E+11,1.76507E+11,1.80598E+11,1.97782E+11,2.07427E+11,2.09002E+11,2.20359E+11,2.30242E+11,2.57926E+11,2.5509E+11,2.68174E+11,2.526E+11,2.48012E+11,2.68381E+11,2.4134E+11,2.40679E+11,3.20193E+11,3.94805E+11,4.58996E+11,5.15733E+11,5.91192E+11,6.39749E+11,6.5462E+11,7.78235E+11,8.6863E+11,8.83235E+11,8.8842E+11,9.11556E+11,8.47011E+11,8.08199E+11,9.15234E+11,9.40326E+11,9.29934E+11,8.51305E+11
Afghanistan,AFG,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,528888946.7,540000028.9,537777811.1,731111195.6,777777880,973333300,1348888896,1611111173,1333333378,1362222193,1688886749,1766664511,1535555629,1668888804,2035555624,2275555556,2491111104,2866666609,3202222216,3588100499,3532879692,3373737343,,,,,,,,,,,,,,,,,,,,,3997968017,4406034989,5073046291,6018811495,6739682823,9482926141,9828036904,11974028779,15260604823,17125088998,19136521417,19328060347,19750533199,18367629937,17252463696,17778499829,17133879941,17916795823,19219086639
Africa Western and Central,AFW,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,2.38227E+11,2.10317E+11,1.49617E+11,1.18673E+11,1.21372E+11,1.07127E+11,1.08236E+11,1.05345E+11,96961078682,1.1518E+11,1.10675E+11,1.10054E+11,88333250712,79336969263,99320665847,1.09281E+11,1.11275E+11,1.14022E+11,1.21364E+11,1.26228E+11,1.34846E+11,1.64502E+11,1.89618E+11,2.37789E+11,2.93372E+11,3.79031E+11,4.45224E+11,5.48811E+11,4.86E+11,5.7618E+11,6.55336E+11,7.14146E+11,8.01427E+11,8.36971E+11,7.32734E+11,6.6316E+11,6.56211E+11,7.12453E+11,7.65647E+11,7.55547E+11
Angola,AGO,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15162140307,17762092477,23653326375,37049154936,52267454376,65718045892,86807248505,68669662764,82889260135,1.11231E+11,1.29791E+11,1.38564E+11,1.44936E+11,1.14025E+11,98646444474,1.19021E+11,99286446047,85179841996,55492916995
Albania,ALB,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993495625,2077123381,2243675576,2868081101,3070155825,3506146457,3865780473,4935041279,6306956422,7044076167,7698662839,9303533533,11167786723,10421307649,10366742450,11210783799,10673896928,11145139738,11545724308,10000865342,10400974686,11372712007,13256492316,13462123171,13033070133
Andorra,AND,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313598673,1400912752,1583832110,2145665914,2634082444,2870339510,3133082424,3573227484,3726234071,3351819950,3125096116,3258129176,2822035205,2849581618,2909778132,2487506934,2571208767,2664889291,2873264053,2832553453,
Arab World,ARB,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,40410054568,47197214983,55880317891,72424867805,1.51015E+11,1.67068E+11,2.16179E+11,2.46108E+11,2.6767E+11,3.73039E+11,5.16788E+11,5.27713E+11,4.87568E+11,4.41355E+11,4.41084E+11,4.29095E+11,4.14905E+11,4.44236E+11,4.44801E+11,4.71649E+11,7.40932E+11,4.27896E+11,4.43016E+11,4.4451E+11,4.80557E+11,5.42245E+11,5.99934E+11,6.50156E+11,6.39254E+11,7.0421E+11,7.99418E+11,7.80679E+11,7.90251E+11,8.47451E+11,1.0457E+12,1.28935E+12,1.51452E+12,1.75074E+12,2.20294E+12,1.94582E+12,2.29082E+12,2.47116E+12,2.6972E+12,2.75871E+12,2.8065E+12,2.4144E+12,2.34552E+12,2.36128E+12,2.61514E+12,2.66752E+12,2.37114E+12
United Arab Emirates,ARE,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,28344705967,28630951566,24256667553,26436857247,31256001849,31584210366,33292998823,34733000536,52543888856,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28789E+11,2.18016E+11,2.37306E+11,2.38612E+11,2.511E+11,2.69558E+11,2.7535E+11,2.62474E+11,2.63219E+11,2.50889E+11,92166720628,1.19336E+11,1.39986E+11,1.69028E+11,1.97413E+11,2.42607E+11,3.03154E+11,2.79247E+11,3.55365E+11,4.45461E+11,4.5791E+11,4.63579E+11,4.41743E+11,5.00331E+11,4.70785E+11,5.42989E+11,4.4414E+11,3.80176E+11,3.26443E+11
Armenia,ARM,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9478764150,9885146611,10295954653,9432223248,9487204681,10342342419,11134461961,12068002775,11265118488
American Samoa,ASM,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,70133790.74,78638600.74,97376275.19,116601397,130556549.3,143876686.3,160766315.2,184287661.1,212805406.3,249029029.6,290504491.5,344130320.4,381824418.1,398855555.6,420118518.5,434759259.3,466877777.8,512629629.6,498437037,544577777.8,588125925.9,631540740.7,669225925.9,742314814.8,708874074.1,716685185.2,752692592.6,793485185.2,891937037,1002788889,1112162963,1177159259,1071700000,986525925.9,975548148.1,1023055556,1024518519,1083896296,1156733333,1244244444,1275781481,1401851852,1489114815,1193948148
Australia,AUS,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87914E+11,3.00079E+11,2.98811E+11,2.89141E+11,2.99062E+11,3.38022E+11,3.6836E+11,3.99997E+11,3.67517E+11,3.58142E+11,3.82687E+11,3.46285E+11,3.61985E+11,4.2651E+11,5.60726E+11,6.38711E+11,6.88396E+11,7.87551E+11,9.75283E+11,8.67134E+11,1.06837E+12,1.30635E+12,1.45095E+12,1.47757E+12,1.37193E+12,1.26007E+12,1.12165E+12,1.23644E+12,1.33218E+12,1.30161E+12,1.24483E+12
Austria,AUT,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,,,,,,,,,,,14311577666,16631198370,20515167569,25646489564,30825128092,35356344315,38109294316,45638802764,55092300768,65724869789,72917233567,63017287023,63333170122,63980828099,59771570731,61178913275,87669106805,1.09936E+11,1.17738E+11,1.17615E+11,1.47764E+11,1.5427E+11,1.73264E+11,1.69254E+11,1.81064E+11,2.16761E+11,2.12139E+11,1.8954E+11,1.94615E+11,1.93039E+11,1.75626E+11,1.76355E+11,1.90432E+11,2.33914E+11,2.68312E+11,2.8092E+11,2.99932E+11,3.47118E+11,3.84378E+11,3.56587E+11,3.49163E+11,3.84239E+11,3.6432E+11,3.83218E+11,3.94345E+11,3.40525E+11,3.5281E+11,3.71194E+11,4.0645E+11,3.97815E+11,
